,t0_F1E_2,t0_F1E_3,t0_F1E_4,t0_F1C_2,t0_F1C_3,t0_F1C_4,LPS_F1E_1,LPS_F1E_2,LPS_F1E_3,LPS_F1C_1,LPS_F1C_2,LPS_F1C_4
ENSGALG00000024466,0,5.15046411,10.20093097,0.905395257,2.290040362,0.54847862,5.769454877,6.976469624,8.918480705,3.556757765,10.31494689,11.11224834
TIMMDC1,157.9522692,233.4877063,275.4251363,204.6193281,263.3546417,273.1423529,204.0944663,237.1999672,200.0287815,213.4054659,230.0233157,282.8572304
ENSGALG00000024481,42.57843778,22.31867781,40.80372389,42.10087945,37.40399258,35.1026317,26.68372881,36.62646553,29.30357946,21.34054659,29.91334599,31.31633623
ENSGALG00000024482,123.6148194,80.69060439,81.60744778,105.9312451,96.18169521,99.27463027,100.2442785,102.902927,108.2958371,105.8135435,99.02349018,124.2551405
BET1,65.92790367,75.54014028,48.45442212,83.29636364,67.93786408,78.98092132,85.8206413,99.41469214,93.00701307,73.80272362,86.64555391,95.96941747
ENSGALG00000024486,346.1214943,223.1867781,204.0186195,412.4075395,350.3761754,331.8295653,368.5239303,305.220546,317.2430994,324.554146,330.0783006,268.7143689
CD99,15.10847792,18.88503507,25.50232743,19.46599802,13.35856878,14.26044413,34.61672926,41.85881774,47.14054087,41.79190373,28.8818513,51.52042411
gga-mir-22,4.120493979,3.43364274,2.550232743,0.452697628,0.763346787,3.290871722,3.605909298,3.488234812,0,1.778378882,2.062989379,4.040817578
U11,4.120493979,3.43364274,2.550232743,2.263488142,0.763346787,2.193914481,2.163545579,0,2.548137344,0,1.031494689,4.040817578
SNORD65,0,0,0,0,0.381673394,0,0.72118186,3.488234812,1.274068672,0,1.031494689,1.010204394
snoU2-30,4.120493979,8.58410685,0,2.263488142,0,3.290871722,7.211818597,10.46470444,14.01475539,10.67027329,3.094484068,2.020408789
SNORD93,4.120493979,1.71682137,0,7.695859684,7.25179448,4.936307582,4.327091158,6.976469624,5.096274689,1.778378882,3.094484068,2.020408789
gga-mir-1723,126.3618154,115.0270318,130.0618699,96.87729249,110.3036108,100.9200661,100.9654604,146.5058621,108.2958371,90.697323,108.3069424,117.1837098
snoU2_19,4.120493979,6.86728548,0,1.358092885,0,6.581743443,11.53890975,5.232352218,8.918480705,10.67027329,3.094484068,1.010204394
SNORA33,0,5.15046411,0,0.905395257,1.526693575,0,1.442363719,0,1.274068672,0,0,4.040817578
ENSGALG00000025546,0,0,0,0,0,0,0,0,0,0,0,0
gga-mir-1561,0,0,0,0,0.763346787,0,0,0,0,0,1.031494689,0
RNase_MRP,5.493991972,1.71682137,7.65069823,1.810790514,6.488447693,13.71196551,5.769454877,0,2.548137344,5.335136647,4.125978757,6.061226366
U4atac,0,0,0,0.452697628,0,0,0.72118186,0,1.274068672,0,0,0
RNaseP_nuc,10.98798394,5.15046411,10.20093097,4.526976285,2.290040362,8.227179304,5.048273018,3.488234812,0,5.335136647,7.220462826,0
ENSGALG00000025738,4.120493979,3.43364274,0,2.716185771,1.526693575,1.096957241,3.605909298,5.232352218,3.822206017,1.778378882,6.188968136,3.030613183
CDR2,6.867489965,6.86728548,2.550232743,6.337766798,5.343427512,1.645435861,13.70245533,5.232352218,8.918480705,9.781083853,6.188968136,8.081635155
NQO2,46.69893176,42.92053425,22.95209469,38.02660079,31.67889168,36.19958894,32.45318369,36.62646553,31.8517168,44.45947206,29.91334599,51.52042411
NMRK2,103.0123495,140.7793523,117.3107062,95.97189723,85.87651358,113.5350744,84.37827758,88.94998771,89.18480705,61.35407144,76.33060701,104.0510526
